COMMON_WELL_NAME,DEPTH (M),BVW (V/V),CARB_FLAG (UNITLESS),COAL_FLAG (UNITLESS),KLOGH (MD),PHIF (V/V),RHOFL (G/CM3),RHOMA (G/CM3),RW (OHMM),SAND_FLAG (UNITLESS),SW (V/V),TEMP (DEGC),VSH (V/V),LITHOTYPE
15/9-19 A,3749.4972,0.090899,0.0,0.0,0.0,0.107023,0.8,2.66,0.021333,0.0,0.8493,114.674,0.716674,OTHER
15/9-19 A,3749.6496,0.09055800000000001,0.0,0.0,0.0,0.108596,0.8,2.66,0.0213325,0.0,0.8338999999999999,114.6775,0.712284,OTHER
15/9-19 A,3749.802,0.091866,0.0,0.0,0.0,0.118777,0.8,2.66,0.0213319,0.0,0.7733999999999999,114.681,0.749511,OTHER
15/9-19 A,3749.9544,0.08789199999999998,0.0,0.0,0.0,0.104358,0.8,2.66,0.0213313,0.0,0.8422,114.6846,0.676746,CLST.SLTY-X-X
15/9-19 A,3750.1068,0.090335,0.0,0.0,0.0,0.117154,0.8,2.66,0.0213308,0.0,0.7711,114.6881,0.698306,CLST.SLTY-X-X
15/9-19 A,3750.2592,0.086235,0.0,0.0,0.0,0.096855,0.8,2.66,0.0213302,0.0,0.8903999999999999,114.6916,0.69568,OTHER
15/9-19 A,3750.4116,0.089198,0.0,0.0,0.0,0.105343,0.8,2.66,0.0213297,0.0,0.8467,114.69520000000001,0.746666,OTHER
15/9-19 A,3750.564,0.090969,0.0,0.0,0.0,0.10859,0.8,2.66,0.0213291,0.0,0.8377,114.6987,0.711248,OTHER
15/9-19 A,3750.7164,0.092811,0.0,0.0,0.0,0.113957,0.8,2.66,0.0213286,0.0,0.8144,114.7022,0.717538,OTHER
15/9-19 A,3750.8688,0.093549,0.0,0.0,0.0,0.116121,0.8,2.66,0.021328,0.0,0.8056,114.7058,0.7306289999999999,OTHER
15/9-19 A,3751.0212,0.091883,0.0,0.0,0.0,0.108632,0.8,2.66,0.0213275,0.0,0.8458,114.7093,0.701386,OTHER
15/9-19 A,3751.1736,0.09305,0.0,0.0,0.0,0.115564,0.8,2.66,0.0213269,0.0,0.8052,114.7129,0.710684,CLST.SLTY-X-X
15/9-19 A,3751.326,0.093314,0.0,0.0,0.0,0.119876,0.8,2.66,0.0213264,0.0,0.7784,114.7164,0.718833,OTHER
15/9-19 A,3751.4784,0.092179,0.0,0.0,0.0,0.116144,0.8,2.66,0.0213258,0.0,0.7936999999999999,114.7199,0.680972,OTHER
